param1,param2,param3,param4,label
-0.7047,-1.3966,0.6037,-1.7103,0.3349
-1.768,0.0297,-1.85,-0.2654,0.0656
-1.7206,-1.6371,-0.3019,1.3074,0.3908
0.5097,1.7908,0.3084,-0.4133,0.1629
1.905,-1.8137,1.4339,-0.8416,0.9924
-0.7661,1.2645,-1.2771,0.3264,0.0203
0.5557,-0.5104,0.191,-1.7488,0.6284
0.7216,-0.2896,-0.7434,0.3422,0.4755
-0.1873,-0.8009,1.1775,0.796,0.7984
0.1008,1.5005,0.9178,-0.8482,0.1383
1.9207,-1.5277,-0.3275,1.0286,0.9849
-1.8432,0.6729,1.0583,0.2921,0.2495
1.5019,-0.745,0.7812,0.3775,0.9605
1.3599,1.7787,-0.1036,0.6566,0.3853
-1.7573,0.806,0.5885,1.9724,0.2593
-0.4568,0.6746,-1.9097,-0.1532,0.0382
-1.3278,-1.5316,-1.7642,1.0729,0.0586
-0.4362,1.4857,-1.6777,-0.2033,0.0294
0.1978,1.5335,1.2771,1.4559,0.5634
-0.5649,1.5368,1.8309,-1.3963,0.0324
-1.2951,-1.0722,-1.0667,-0.0601,0.1867
-1.9836,-0.3242,-0.523,0.2654,0.1344
1.8124,0.762,0.062,0.4704,0.8761
1.5981,1.1199,1.4981,1.1915,0.9684
-0.4305,-0.4041,-1.5859,0.5372,0.0729
-1.1649,-1.3508,-0.6398,-1.7897,0.5497
-1.9991,-1.3949,-1.5941,-0.5456,0.4693
0.4563,-1.4058,-0.991,-0.6104,0.7518
-0.5433,-1.5086,1.3957,1.9724,0.9558
-1.6565,-1.5912,-0.6295,-0.941,0.4988
1.3154,-1.3542,-1.9076,1.8039,0.1975
0.1727,-1.8918,0.1124,1.914,0.823
1.4533,0.7848,-0.9555,-0.5332,0.7225
0.1304,1.1162,-0.6813,-1.1078,0.2221
1.246,1.9397,1.4105,1.2243,0.8717
-1.093,0.0706,-0.5777,-1.8841,0.1665
-1.8883,-0.8823,-0.9633,0.7701,0.1464
1.7481,1.9522,1.82,-0.5415,0.7271
-1.1182,-1.0926,-1.2132,-1.1825,0.347
1.3617,-0.0821,0.6119,1.1986,0.9085
-1.6609,0.6423,1.6391,1.1292,0.5736
-1.2859,1.1565,-0.6699,1.2033,0.0142
1.8866,-0.4166,-0.3945,1.7872,0.9198
-1.4918,-1.3954,1.6194,1.226,0.9061
-1.4153,1.306,1.9212,0.6291,0.2937
-1.4761,-1.943,1.8836,0.5987,0.9381
0.1063,1.7345,-0.2648,1.487,0.0561
-0.9927,-0.8281,-1.0378,0.3457,0.1262
-0.9625,-0.3239,-1.4757,1.6401,0.0122
0.3334,1.6172,-0.3175,1.6709,0.0832
0.0066,0.1273,0.094,-1.9252,0.2412
-1.9843,1.1967,-1.3106,-0.106,0.0279
0.9008,0.2259,-0.6961,0.0734,0.3635
-1.5756,0.2412,-1.006,-0.8923,0.1116
1.089,0.0309,0.2469,1.04,0.8263
0.4501,0.0222,0.0486,0.7709,0.4309
-0.1906,0.1331,-0.0879,1.766,0.1834
1.7687,-0.9616,0.2381,1.7731,0.9722
1.36,-1.4515,-1.5135,-0.2315,0.9176
-1.7075,0.6779,1.1357,1.5881,0.4897
-1.3822,0.8645,0.641,-1.4281,0.0865
-1.1216,1.81,-0.407,-0.051,0.0154
1.9595,1.3298,-1.3541,-0.2739,0.7068
-1.217,-0.7259,0.8886,-1.9221,0.1533
0.2162,-0.2382,-1.9277,-0.674,0.3085
-1.7428,1.9403,1.1535,1.8868,0.2178
-1.5809,-0.9377,-1.8416,1.116,0.0239
-0.311,1.6457,1.2759,-0.9656,0.0605
-1.4025,1.6767,0.2824,0.8017,0.0511
0.7528,-0.2987,-1.7103,1.7534,0.0511
0.5378,1.2065,-1.665,1.4249,0.0208
-0.1849,-0.6434,0.2123,1.7067,0.5686
-0.9286,-1.4831,0.1077,-1.0463,0.5034
-1.7985,-1.1929,-0.752,-0.78,0.3931
1.038,-0.8402,0.0004,-1.2884,0.8441
-0.9982,-1.9386,0.9323,0.2042,0.7656
-1.2422,-0.101,1.7386,-1.5749,0.0806
-0.02,1.3385,-0.4277,0.0267,0.0623
0.751,1.9298,-0.6292,1.3291,0.0569
-0.3812,-0.6098,-1.7824,-1.4807,0.483
-1.7171,0.9636,-0.9776,-1.347,0.1345
1.4822,0.6822,-0.8723,-1.0311,0.8216
-0.8278,-0.1622,-1.3699,-0.2167,0.1061
1.8905,0.1883,-1.0222,1.8627,0.7517
-0.7618,-0.5737,-1.9957,-0.4735,0.1369
-1.1961,0.0189,-1.9802,-0.9433,0.1785
-1.641,-0.402,-1.8333,-1.91,0.5417
0.3423,0.1168,1.0022,0.6302,0.7149
0.864,1.5164,-0.4419,-0.6955,0.2885
0.8966,0.5729,-1.8248,1.3412,0.0383
1.5678,0.5093,0.9354,1.2489,0.9658
0.0175,1.3398,1.2187,1.3056,0.56
0.3362,1.5713,0.7316,0.7733,0.2789
-1.4676,-0.5572,-1.5803,1.3433,0.0201
0.2341,0.5111,0.5049,0.7227,0.4054
1.1908,0.9931,0.0119,0.1408,0.5533
0.6372,-1.7358,0.9472,-0.9912,0.8755
0.9173,-1.1791,0.9593,1.9029,0.9827
-0.0242,-0.4698,-0.084,0.7348,0.3941
0.5711,-1.6901,-1.4103,-0.9842,0.8153
0.9729,-0.7823,0.271,-1.9501,0.8144
0.688,0.7687,0.7028,-0.8366,0.3873
0.0661,-0.1413,-0.1346,-1.526,0.407
1.9125,1.745,-1.93,-0.1641,0.5031
1.2796,1.8724,-0.2022,-0.9254,0.4199
-1.1572,0.3259,-1.433,0.0963,0.0753
1.811,-1.4696,1.2809,0.035,0.9954
-1.0745,1.5908,-0.0554,-1.9007,0.0315
-1.9856,-0.0332,-0.197,-0.7922,0.1916
-0.7357,1.3609,-1.993,1.0029,0.0035
1.3564,-1.5198,1.7056,0.8521,0.9963
-0.5111,-0.4284,1.9952,0.3567,0.7242
-0.5572,-0.2878,-0.8994,-1.8069,0.4987
-0.8575,1.7424,-1.0027,-0.9371,0.05
0.0439,-1.2406,-0.5066,1.8247,0.4357
0.5236,1.6537,1.7628,0.1969,0.3757
0.8783,-1.8021,0.9294,-0.1966,0.9466
-0.8552,-1.8041,1.7071,-1.4908,0.2829
-0.1113,-0.6253,-0.8089,0.9561,0.2148
0.624,-0.7967,0.2293,-0.4225,0.7222
-1.3307,-1.3534,-1.1685,1.6238,0.0548
1.625,1.9859,-0.2002,-1.4416,0.578
-1.2304,-1.6371,-0.6322,-1.6356,0.59
0.2785,1.549,0.9986,-0.3489,0.2025
-0.3445,0.0967,-0.4925,-0.6472,0.2376
1.8707,-1.4965,0.0136,0.5185,0.9883
1.4514,-1.1361,-0.9159,-1.0062,0.9425
1.8158,1.3947,1.4916,-1.9128,0.5559
-1.871,0.838,1.5828,-0.1069,0.1803
-0.4339,1.7073,1.3024,1.4219,0.3631
1.889,-1.0061,-1.5638,-1.3825,0.9846
1.766,0.8869,0.5894,1.0592,0.9268
-0.1707,0.206,-1.8418,1.1292,0.0164
0.582,-0.7849,-1.4881,-0.9928,0.8202
0.5452,0.7943,-1.5515,-1.7186,0.4748
-0.4477,-1.1057,0.4042,-1.9582,0.3653
-0.7939,-0.1572,1.8358,0.5783,0.7316
-1.0609,-1.0118,1.8425,0.8186,0.845
-0.7704,-1.9129,-0.0068,0.6979,0.5618
0.6694,1.7006,-1.0929,-1.8636,0.3633
-0.6478,-0.3178,0.7303,-1.2077,0.2375
0.0195,-1.1791,1.8794,-0.7531,0.5483
1.28,-1.0768,-1.1142,1.0419,0.6429
-0.0169,-1.2507,-1.1067,-0.3319,0.6321
0.6612,1.795,-1.4145,-0.4262,0.1215
-1.4324,-1.7926,-1.7595,-0.4267,0.5302
1.5927,1.5343,0.9309,1.9901,0.9492
-1.258,1.7435,0.9852,-1.8724,0.0134
0.6577,-0.4855,-0.5045,-0.6732,0.6401
-0.8808,-0.5941,1.8221,-1.5052,0.1353
1.8571,-1.1704,-0.5735,1.2863,0.957
-1.803,-0.1061,-0.5091,1.678,0.0554
-1.2279,-0.543,1.588,-1.8789,0.0579
1.0667,-1.8374,-1.8606,-1.7497,0.9868
1.6803,-0.9719,0.9891,1.5942,0.9943
1.8308,0.4679,-0.9513,0.8665,0.7527
-0.7341,-0.8975,-1.9849,1.0226,0.0365
1.773,-1.903,-1.0645,-0.0992,0.9747
1.8271,1.8156,-0.4539,-0.9958,0.6665
1.7124,-1.2682,1.2103,0.954,0.9963
1.291,1.0912,0.429,-0.6888,0.5716
1.129,-1.6839,-1.2108,1.0115,0.7569
-1.0108,-1.7411,-1.8645,0.2104,0.1415
1.5339,1.9513,-0.9404,-1.6637,0.7767
